ARKTIKUL;CODE;NAME;CENA_ROZN;CENA_OPT;URL;OSTATOK;GROUP;OPISANIE;GARANT;IMPORT;EAN;PROIZV;STRANA;MATERIAL;CVET;DLINA;DIAM;IST;UPAK;CENA_IM
24907301001;у21103;Набор для подневолья;3990;1604;http://kazanova.su/files/foto/24907301001.jpeg;0;БДСМ/Наручники, кандалы, фиксация;;;20;2,20E+12;Orion, Германия;Китай;полиуретан;черный;;;;пластмассовая коробка;
5254300000;у26926;BDSM Эластичная фиксация для рук;3670;429;http://kazanova.su/files/foto/5254300000.jpeg;0;БДСМ/Наручники, кандалы, фиксация;Эти гибкая факсация идеально подходит для связывания вашего любовника! Мягкое покрытие ласкает кожу, а гибкая внутренняя основа обеспечивает комфортное использвоание и позволяет легко придать желаемую форму фиксации, связывая вашего партнера в любом положении.  Длина - 86 см.;;20;4,02E+12;Orion, Германия;Китай;полиамид;черный;от 40 см;;;пластмассовая коробка;2569
2542400000;т8092;BDSM Кнут кожаный ZADO Peitsche;3800;1394;http://kazanova.su/files/foto/2542400000.jpeg;0;БДСМ/Плетки, шлепалки;Может использоваться разными способами! Черный кожаный кнут с хлыстами и обтянутой кожей деревянной ручкой. Длина 62 см.;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;от 40 см;;;пластмассовая коробка;3420
2544440000;2696;BDSM Плетка с ручкой-фаллосом;2990;1209;http://kazanova.su/files/foto/2544440000.jpeg;0;БДСМ/Плетки, шлепалки;Сделайте его горячим! Кожаный кнут с многократными хлыстиками из кожи, на крепком естественно выглядящей пенисе, покрытым скользким латексом. Полная длина: 75 см. Пенис: 18 см, диаметр 3.5 см.;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;от 40 см;;;пластмассовая коробка;
20400341000;т6358;BDSM Хлыст ZADO Leder-Gerte einfach;1480;587;http://kazanova.su/files/foto/20400341000.jpeg;0;БДСМ/Плетки, шлепалки;;;20;4,02E+12;Orion, Германия;Китай;пластик;черный;от 40 см;;;пластмассовая коробка;
2576720000;8489;BDSM Плетка с ручкой-фаллосом LATE X Latex-Peitsche;2990;1113;http://kazanova.su/files/foto/2576720000.jpeg;6;БДСМ/Плетки, шлепалки;;;20;4,02E+12;Orion, Германия;Китай;латекс;черный;от 40 см;;;пластмассовая коробка;2730
24904552001;у13539;BDSM Шлепалка Bad Kitty Nurse Paddle mit Stirnband;2340;928;http://kazanova.su/files/foto/24904552001.jpeg;0;БДСМ/Плетки, шлепалки;Самая суровая медсестра! Набор из повязки на голову и шлепалки. Повязка на голову имеет двойной слой и резинку. У шлепалки также есть несколько слоев материала и петля, одна белая сторона, другая черная.;;20;4,02E+12;Orion, Германия;Китай;полиуретан;черно-белый;;;;картонная коробка;
2542230000;т4416;BDSM Плетка ZADO Mini-Peitsche;2260;832;http://kazanova.su/files/foto/2542230000.jpeg;2;БДСМ/Плетки, шлепалки;Кожаная плетка 45 см длиной с 11 см ручкой.;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;от 40 см;;;пластмассовая коробка;1990
2544010000;т4417;BDSM Плетка кожа с деревянной ручкой ZADO Parier-Peitsche;2750;1010;http://kazanova.su/files/foto/2544010000.jpeg;7;БДСМ/Плетки, шлепалки;Для всех те, кто предпочитает подчиняться! Плеть с несколькоми хлыстиками, сделанные из черной натуральной кожи с крепкой деревянной ручкой. Длина: 75 см.;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;от 40 см;;;пластмассовая коробка;2470
2554590000;т4420;BDSM Плеть кожаная красная ZADO Leder;2880;1057;http://kazanova.su/files/foto/2554590000.jpeg;9;БДСМ/Плетки, шлепалки;Красно-черная плеть с деревянной ручкой и петлей. Длина 25 см, хлыстики: 50 см x 0,5 см.;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;от 40 см;;;пластмассовая коробка;2590
20400001000;т5108;BDSM Плетка ZADO Leder-Softriemen;2760;1096;http://kazanova.su/files/foto/20400001000.jpeg;0;БДСМ/Плетки, шлепалки;Черный кнут с множественными мягкими кожаными хлыстиками приблизительно 25 см длиной, с деревянной ручкой анатомической формы длиной 17 см и диаметром 3 см.;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;22 - 26 см;;;пластмассовая коробка;
2540450000;т5777;BDSM Шлепалка ZADO Leder-Gerte;3350;1229;http://kazanova.su/files/foto/2540450000.jpeg;0;БДСМ/Плетки, шлепалки;Кожаный шлепающий прут с рукой на конце. Длина 67 см.;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;15 - 18 см;;;пластмассовая коробка;2450
2546490000;т6097;BDSM Шлепалка ZADO Leder Herzpaddel;2740;1007;http://kazanova.su/files/foto/2546490000.jpeg;0;БДСМ/Плетки, шлепалки;Мини шлепающее весло с вырезанным сердечным очертанием. Материал: натуральная кожа. Укрепленная ручка. Размер: 30 см.;;20;4,02E+12;Orion, Германия;Китай;натуральная кожа;черный;26 - 32 см;;;пластмассовая коробка;2010
20400421000;т6159;BDSM Хлыст с петлей ZADO Leder-Gerte;2050;814;http://kazanova.su/files/foto/20400421000.jpeg;0;БДСМ/Плетки, шлепалки;Черный кожаный хлыст с кожаной петлей в наконечнике и кожаной петлей в ручке. Длина 65 см. Производство Германия.;;20;4,02E+12;Orion, Германия;Китай;пластик;черный;от 40 см;;;пластмассовая коробка;
2544280000;2676;Плетка кожаная хлыст;1230;489;http://kazanova.su/files/foto/2544280000.jpeg;0;БДСМ/Плетки, шлепалки;Шлепалка, 39 см, натуральная кожа.;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;32 - 42 см;;;пластмассовая коробка;
20400773001;т7032;BDSM Кнут кожаный ZADO Peitsche;2860;1135;http://kazanova.su/files/foto/20400773001.jpeg;0;БДСМ/Плетки, шлепалки;Кнут сделан из мягкого велюра с 12 хлыстиками. Цвет: красный/черный. Длина: 70 см. Удобная ручка, 23 см длиной, диаметр 3 см, с кожаной вешалкой.;;20;4,02E+12;Orion, Германия;Китай;кожа;красн/черный;от 40 см;;;пластмассовая коробка;
20400181000;т7616;BDSM Плетка кожаная ZADO Leder/Latex;2320;915;http://kazanova.su/files/foto/20400181000.jpeg;0;БДСМ/Плетки, шлепалки;Кожаный кнут с покрытой латексом ручкой на 12 см.;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;от 40 см;;;пластмассовая коробка;
24902181000;у14172;BDSM Трость Fetish collection Rohrstock 80 см;590;237;http://kazanova.su/files/foto/24902181000.jpeg;0;БДСМ/Плетки, шлепалки;Для прекрасных наказаний! Простая черная трость, покрытая мягкой кожей. Размер 80 см длиной. Производство Германия.;;20;2,20E+12;Orion, Германия;Китай;латекс;черный;от 40 см;;;пластмассовая коробка;
20401231000;у14234;BDSM Кнут пальчиковый Leder-Fingerpeitsche;1580;580;http://kazanova.su/files/foto/20401231000.jpeg;4;БДСМ/Плетки, шлепалки;Для особых ощущений! Почувствуйте пробуждающие удары узких черных кожаных хлыстов на Вашем теле. Плетка с маленькой плетеной ручкой и металлическим кольцом. Полная длина приблизительно 25 см.;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;22 - 26 см;;;пластмассовая коробка;1420
20401741000;у14236;BDSM Кнут кожаный ZADO Leder-Peitsche;3260;1196;http://kazanova.su/files/foto/20401741000.jpeg;0;БДСМ/Плетки, шлепалки;Проверьте ваши чувства! Мягкие черные кожаные хлыстики, собранные на кривой прочной ручке, которая может использоваться в качестве фаллоимитатора. Полная длина 56 см.;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;56 см;;;пластмассовая коробка;2930
24903311000;у14274;BDSM Стек Bad Kitty Gerte;2770;1019;http://kazanova.su/files/foto/24903311000.jpeg;1;БДСМ/Плетки, шлепалки;Маленький черный стек с сердцевидной шлепалкой на конце, пластмассовой основой и плетеной ручкой с петлей. Длина приблизительно 45 см.;;20;2,20E+12;Orion, Германия;Китай;;черный;от 40 см;;;пластмассовая коробка;2500
24902693001;у14693;BDSM Плетка Bad Kitty красная;2000;734;http://kazanova.su/files/foto/24902693001.jpeg;0;БДСМ/Плетки, шлепалки;Для мягких любовных ударов! Маленькая красно-черная плетка с мягкими хлыстиками из замши. Длина 38 см. Материал: замша.;;20;4,02E+12;Orion, Германия;Китай;замша;красн/черный;32 - 42 см;;;картонная коробка;1460
24902694001;у14694;BDSM Плетка Bad Kitty Lila;2260;832;http://kazanova.su/files/foto/24902694001.jpeg;1;БДСМ/Плетки, шлепалки;Для мягких любовных ударов! Маленькая фиолетово-черная плетка с мягкими хлыстиками из замши. Длина 38 см. Материал: замша.;;20;4,02E+12;Orion, Германия;Китай;замша;фиолетовый/черный;32 - 42 см;;;картонная коробка;1990
24904121000;у14697;BDSM Перышко черное Bad Kitty;1150;452;http://kazanova.su/files/foto/24904121000.jpeg;0;БДСМ/Плетки, шлепалки;Большое черное страусинное перо (примерно 30 см) на пластмассовой палочке (примерно 40 см), чтобы закончить Ваш образ или испытать новые эмоции во время сексуальных игр.;;20;4,02E+12;Orion, Германия;Китай;страусиное перо;черный;;;;пластмассовая коробка;
24904123000;у14698;BDSM Перышко красное Bad Kitty Feder;1150;452;http://kazanova.su/files/foto/24904123000.jpeg;0;БДСМ/Плетки, шлепалки;Большое красное страусинное перо (примерно 30 см) на пластмассовой палочке (примерно 40 см), чтобы закончить Ваш образ или испытать новые эмоции во время сексуальных игр.;;20;4,02E+12;Orion, Германия;Китай;страусиное перо;красный;;;;пластмассовая коробка;
20401903000;у16306;Шлепалка кожаная Rose;4200;1543;http://kazanova.su/files/foto/20401903000.jpeg;0;БДСМ/Плетки, шлепалки;;;20;4,02E+12;Orion, Германия;Китай;замша/пластик;красн/черный;от 40 см;;;пластмассовая коробка;3080
24906091001;у18276;Шлепалка черная;1990;824;http://kazanova.su/files/foto/24906091001.jpeg;0;БДСМ/Плетки, шлепалки;;;20;4,02E+12;Orion, Германия;Китай;полиэстер;черный;26 - 32 см;6 - 8 см;;картонная коробка;
20401311000;у20968;Шлепалка кожа;3570;1312;http://kazanova.su/files/foto/20401311000.jpeg;0;БДСМ/Плетки, шлепалки;;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;от 40 см;;;пластмассовая коробка;3210
20402391000;у20969;Шлепалка смайлик;1910;701;http://kazanova.su/files/foto/20402391000.jpeg;1;БДСМ/Плетки, шлепалки;;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;32 - 42 см;;;пластмассовая коробка;1720
20402551001;у20970;Кнут кожа;4830;1774;http://kazanova.su/files/foto/20402551001.jpeg;1;БДСМ/Плетки, шлепалки;;;20;4,02E+12;Orion, Германия;Китай;замша;черный;от 40 см;;;пластмассовая коробка;4350
24909601001;у20972;Шлепалка Сердечко;1140;421;http://kazanova.su/files/foto/24909601001.jpeg;3;БДСМ/Плетки, шлепалки;;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;22 - 26 см;;;пластмассовая коробка;999
24909781001;у20973;Шлепалка Пики;840;332;http://kazanova.su/files/foto/24909781001.jpeg;0;БДСМ/Плетки, шлепалки;;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;22 - 26 см;;;пластмассовая коробка;588
24909861001;у20974;Шлепалка Бабочка;1140;421;http://kazanova.su/files/foto/24909861001.jpeg;4;БДСМ/Плетки, шлепалки;;;20;4,02E+12;Orion, Германия;Китай;полиэстер;черный;;;;пластмассовая коробка;999
24909941001;у20975;Шлепалка Классик;999;371;http://kazanova.su/files/foto/24909941001.jpeg;0;БДСМ/Плетки, шлепалки;;;20;4,02E+12;Orion, Германия;Китай;полиэстер;черный;22 - 26 см;;;пластмассовая коробка;740
5268600000;т4367;Насадка-ремешок на пенис;1380;543;http://kazanova.su/files/foto/5268600000.jpeg;0;БДСМ/Фетиш;Натуральный тройное кожаный ремень для пениса с клепками, прекрасно приспособлен для подгонки.;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;;;;картонная коробка;
5108400000;2500;Насадка-ремешок на пенис;1260;465;http://kazanova.su/files/foto/5108400000.jpeg;0;БДСМ/Фетиш;;;20;4,02E+12;Orion, Германия;Китай;Кожа, Метал;черный;;4,5 см;;картонная коробка;920
5108070000;2503;Насадка-ремешок на пенис;990;412;http://kazanova.su/files/foto/5108070000.jpeg;0;БДСМ/Фетиш;Кожаный ремень на пенис для более длительной эрекции! Черный кожаный ремень с тремя взаимозаменяемыми кольцами (? 3 см, ? 3.5 см и 4 см ?).;;20;4,02E+12;Orion, Германия;Китай;Кожа, Метал;черный;;3 - 4 см;;картонная коробка;
5273270000;т5365;Электро кольцо на пенис;1774;763;http://kazanova.su/files/foto/5273270000.jpeg;0;БДСМ/Фетиш;2а электро кольца на пенис, специально для секса с искрой! К кольцам подведен кабель. Одно кольцо 4 см. в диаметре 2е кольцо 5 см. в диаметре Ширина 2 см. Необходимо использовать оба кольца, для правильного функционирования устройства;;20;4,02E+12;Orion, Германия;Китай;силикон;черный;;4 - 5 см;;картонная коробка;
5276370000;т5366;Расширитель Pussy Opener;870;322;http://kazanova.su/files/foto/5276370000.jpeg;0;БДСМ/Фетиш;Прозрачный расширитель вагины, плавная регулировка раздвижения. Длина 10 см.;;20;4,02E+12;Orion, Германия;Китай;АБС-Пластик ,ТПР;серый;;;;картонная коробка;640
5203220000;т5812;Зеркало вагинальное Speculum plastic;1190;439;http://kazanova.su/files/foto/5203220000.jpeg;0;БДСМ/Фетиш;Пластмассовый расширитель влагалища.;;20;4,02E+12;Orion, Германия;Китай;АБС-Пластик ,ТПР;прозрачный;8 см;3 - 7 см;;картонная коробка;870
5257230000;т4361;Зажим для сосков+кольцо Lust Cord;1190;469;http://kazanova.su/files/foto/5257230000.jpeg;0;БДСМ/Фетиш;Крепкие узы для плохих мальчиков! Возбуждающие соски зажимы и эрекционное кольцо на пенис. Длина 150 см. Производство Германия.;;20;4,02E+12;Orion, Германия;Китай;нейлон/пластик/металл;;;;;картонная коробка;
5275800000;у13370;BDSM Ремень для пениса и мошонки Sextreme Leather Penis;1000;395;http://kazanova.su/files/foto/5275800000.jpeg;0;БДСМ/Фетиш;Сделайте ЕГО сильным и притягательно красивым! Черные кожаные ремешки для пениса и мошонки с кнопками для чудесно плотного прилегания.;;20;2,20E+12;Orion, Германия;Китай;кожа;черный;;;;картонная коробка;
5298000000;у17430;Стимулятор для уретры Sextreme Lollipop;2100;834;http://kazanova.su/files/foto/5298000000.jpeg;0;БДСМ/Фетиш;Металлический стимулятор для особых чувств. Гладкая полированная нержавеющая сталь сдлинной ручкой и окончанием в виде неотвинчивающегося мяча. Пододет ка для внешней так и для внутренней стимуляции чувствительных зон. Материал: нержавеющая сталь. Размеры: длина около 20 см, диаметр 0.5 см, шар диаметром 2,5 см. Колекция:Sextreme.;;20;4,02E+12;Orion, Германия;Китай;сталь;металлик;;;;картонная коробка;
5733530000;у17433;Вибратор для уретры Dilator Vibe голубой;3540;1300;http://kazanova.su/files/foto/5733530000.jpeg;0;БДСМ/Фетиш;Вибратор для массажа точки G и всего ануса деликатных размеров. Тихие семь режимов вибрации удобно регулируются всего одной кнопкой. Кончик округляется плавно и осторожно. Изготовлен из приятного  на ощупь силикона. Размеры: общая длина 19 см, длина утонченной части 11 см, диаметр всего 0.6 см. Материал: Силикон и АБС. Батарейки в комплекте. Цвет: синий. Коллекция:You2Toys.;;20;2,20E+12;Orion, Германия;Китай;силикон;голубой;19 - 20 см;0,6 - 3 см;таблетка L44, 3 шт, в комплекте;блистер;3190
5273860000;у26066;Электро-секс будущего поколения;2300;913;http://kazanova.su/files/foto/5273860000.jpeg;0;БДСМ/Фетиш;;;20;2,20E+12;Orion, Германия;Китай;АБС-Пластик ,ТПР;;150 см;;;картонная коробка;
5294940000;у25509;Стимулятор металлический Wartenberg;2460;968;http://kazanova.su/files/foto/5294940000.jpeg;0;БДСМ/Фетиш;;;20;2,20E+12;Orion, Германия;Китай;Messing verchromt;металлик;18 - 22 см;;;картонная коробка;
20101781001;ъ01431;Чехол для пениса ZADO кожаный;1570;578;http://kazanova.su/files/foto/20101781001.jpeg;0;БДСМ/Фетиш;;;20;4,02E+12;Orion, Германия;Китай;кожа;черный;;;;картонная коробка;1150
5778980000;ъ01488;Вибратор для уретры DILATOR;3540;1300;http://kazanova.su/files/foto/5778980000.jpeg;0;БДСМ/Фетиш;Тонкий бесшовный вибратор с закругленным наконечником для безболезненного введения в уретру. 3 скорости + 4 режима вибрации управляются одной кнопкой, материал - силикон. Общая длина вибратора - 19 см, глубина проникновения - 11 см, диаметр палочки - 8 мм. Батарейки в комплекте.;;20;4,02E+12;Orion, Германия;Китай;силикон;синий;19 - 20 см;0,6 - 3 см;таблетка L44, 3 шт, в комплекте;блистер;3190
2511350000;т9196;Fetish Виниловая  простынь  красная 220х220 см;7870;2889;http://kazanova.su/files/foto/2511350000.jpeg;7;Белье;;;20;4,02E+12;Orion, Германия;;;;;;;;6990
2502280000;т6856;Fetish Виниловая  наволочка бордо 80х80 см;1680;619;http://kazanova.su/files/foto/2502280000.jpeg;0;Белье;Откиньте свою голову на это глянцевое покрытие! Совершенно гладкая и глянцевая наволочка, не предназначена для стирки в машине. Подушка не включенная! Размер: 80 x 80 см. Материал поливинилхлорид.;;20;4,02E+12;Orion, Германия;;;;;;;;1230
2504220000;т6857;Fetish Виниловая простынь бордо 200х230 см;3260;1196;http://kazanova.su/files/foto/2504220000.jpeg;12;Белье;Бордовая гладкая и красоточная виниловая простыня для больших удовольствий. Размер: 200 x 230 см. Материал поливинилхлорид.;;20;4,02E+12;Orion, Германия;;;;;;;;2390
2504650000;т6858;Fetish Виниловая простынь черная 200х230 см;3690;1356;http://kazanova.su/files/foto/2504650000.jpeg;4;Белье;;;20;4,02E+12;Orion, Германия;;;;;;;;3320
2522040000;т5532;Fetish Виниловая  наволочка черная 80х80 см;1910;701;http://kazanova.su/files/foto/2522040000.jpeg;6;Белье;Совершенно гладкая и глянцевая наволочка, не предназначена для стирки в машине. Подушка не включенная! Размер: 80 см x 80 см. Материал поливинилхлорид.;;20;4,02E+12;Orion, Германия;;;;;;;;1720
28600073090;т6917;Fetish Виниловая простынь красная 200х230 см;3690;1356;http://kazanova.su/files/foto/28600073090.jpeg;5;Белье;Красная гладкая и красоточная виниловая простыня для больших удовольствий. Размер: 200 см x 230 см. Материал поливинилхлорид.;;20;4,02E+12;Orion, Германия;;;красный;;;;;3320
28600153090;т6918;Fetish Виниловая  наволочка красная 80х80 см;1910;701;http://kazanova.su/files/foto/28600153090.jpeg;6;Белье;Совершенно гладкая и глянцевая наволочка, не предназначена для стирки в машине. Подушка не включенная! Размер: 80 см x 80 см. Материал поливинилхлорид.;;20;4,02E+12;Orion, Германия;;;;;;;;1720
861098;ъ03896;FLAMINGO smart вибратор;7590;3790;http://kazanova.su/files/foto/861098.jpeg;156;Вагинальные шарики и тренажеры/Тренажеры Кегеля;Инновационный вибратор - Flamingo!  Flamingo - это любовь без границ! Ультрасовременное приложение дает возможность вашему партнеру доставить удовольствие из любой точки мира.  В приложение есть уникальные функции, такие как:  - возможность ощутить музыку внутри себя,  - контроль голосом - режимы вибрации реагирующие на окружающие звуки,  - превосходный тренажер Кегеля,   - функция удаленного доступа из любой точки мира. И это далеко не полный список возможностей этой прекрасной птицы - найди и открой для себя новые грани любви!  Flamingo прост и удобен в использовании, а небольшие размеры позволяет работать с ним где угодно – во время сеанса в кино, в офисе и на работе, в автомобиле, на природе. Эргономичный дизайн, полное силиконовое покрытие, гиппо аллергенный.  Приложение на iOS и Android доступно в App Store и Google play.;1 год;20;6,96E+12;Magic Motion, Китай;Китай;медицинский силикон;;7,2 см;3,2 см;USB;;7590
5134580000;у10002;Шарики вагинальные Sarah's Secret;730;271;http://kazanova.su/files/foto/5134580000.jpeg;26;Вагинальные шарики и тренажеры/Вагинальные шарики;Класиические вагинальные шарики со смещенным центром тяжести. Материал: пластик. Диаметр 3.5 см.;;20;4,02E+12;Orion, Германия;Китай;АБС-Пластик, Полиамид;голубой;21,5 см;3 - 4 см;;картонная коробка;660
5173130000;у11800;Joyballs вагинальные шарики красные;1650;652;http://kazanova.su/files/foto/5173130000.jpeg;0;Вагинальные шарики и тренажеры/Вагинальные шарики;2 красных вагинальных шарика из медицинского силикона со смещенным центром тяжести. Регулярное использование поможет тренировать Ваши влагалищные мышцы для незабываемых оргазмов.   Изделие прошло дерматологические и клинические испытания. Гипоаллергенно, без запаха.  Диаметр шариков 3,5 см, общая длина с петлей 17 см.  В комплект входит оразец смазки.;;20;4,03E+12;Orion, Германия;Китай;силикон;красный;;2 - 4 см;;картонная коробка;
5112770000;4261;Шарики белые Sarah's Secret;730;271;http://kazanova.su/files/foto/5112770000.jpeg;23;Вагинальные шарики и тренажеры/Вагинальные шарики;"Шарики вагинальные белые для тренировки и укрепления стен влагалища.Диаметр 3 см.   Ваш тренажер: Вагинальные шарики со смещенным центром тяжести (изготовлены из латекса, гладкие) используются для тренировки мышечной стенки влагалища, благодаря чему женщина развивает в себе способность регулировать объем влагалища, делая его более узким. Мужчина и женщина, независимо от размеров и индивидуальных анатомических особенностей половых органов, испытывают наиболее яркие ощущения во время близости благодаря плотному обхвату полового члена влагалищем. Умение владеть мышечной стенкой влагалища очень благотворно сказывается на его способности возвращаться к своим первоначальным размерам после родов, т.к. натренированная мышечная стенка приобретает эластичность и быстро сокращается. За счет специфического массажа, возникающего при использовании вагинальных шариков со смещенным центром тяжести усиливается приток крови к так называемым ""мертвым зонам"" внутри влагалища, т.е. к тем участкам, которые не затрагиваются во время даже самой бурной близости, таким образом снижается риск возникновения застойных явлений.   Способ применения: -Обработайте шарики небольшим количеством интимной смазки. -В полулежачем или лежачем положении введите шарики во влагалище, оставив нить для вытягивания шариков снаружи. -Встаньте попытайтесь удержать шарики в течение некоторого времени (первоначально в течение 1 минуты, далее увеличивая интервал воздействия до 15, 20,30 и более минут в зависимости от желания и возможностей каждой женщины). -После того как умение удерживать шарики во влагалище в течение длительного времени освоено, женщина начинает ходить с ними, при движении и происходит эффект массажа (перекатывание шариков внутри влагалища), а также при их воздействии женщина испытывает сексуальные эмоции от легкого возбуждения до экстаза. - До и после использования шарики промываются теплой водой с мылом. - Не рекомендуется использовать шарики во время непосредственной близости с партнером. - Перед первым использованием необходимо обработать изделие антисептиком (например, раствором мирамистина или хлоргексидина или смазкой, содержащей эти антисептики), после чего промыть их теплой водой с мылом. До и после использования необходимо также промывать изделие теплой водой с мылом.";;20;4,02E+12;Orion, Германия;Китай;АБС-Пластик, Полиамид;белый;21,5 см;3 - 4 см;;картонная коробка;660
5116500000;т4465;Шарики вагинальные LATEX PLEASURE DUO;1650;608;http://kazanova.su/files/foto/5116500000.jpeg;16;Вагинальные шарики и тренажеры/Вагинальные шарики;Дикий экстаз внутри вас! Красные шары удовольствия с вращением внутренних шаров из скользкого латексного покрытия для легкого проникновения. Диаметр шариков 3 см, на шнуре 21 см с поисковой петлей.;;20;4,02E+12;Orion, Германия;Китай;латекс;красный;21,5 см;3 - 4 см;;блистер;1490
5134660000;4278;Шарики вагинальные  SARAH'S SECRET красные;730;271;http://kazanova.su/files/foto/5134660000.jpeg;17;Вагинальные шарики и тренажеры/Вагинальные шарики;"Вагинальные шарики со смещенным центром тяжести (внутри находится перемещающийся металлический шарик) в гладкой оболочке.     Ваш тренажер: Вагинальные шарики со смещенным центром тяжести (изготовлены из латекса, гладкие) используются для тренировки мышечной стенки влагалища, благодаря чему женщина развивает в себе способность регулировать объем влагалища, делая его более узким. Мужчина и женщина, независимо от размеров и индивидуальных анатомических особенностей половых органов, испытывают наиболее яркие ощущения во время близости благодаря плотному обхвату полового члена влагалищем. Умение владеть мышечной стенкой влагалища очень благотворно сказывается на его способности возвращаться к своим первоначальным размерам после родов, т.к. натренированная мышечная стенка приобретает эластичность и быстро сокращается. За счет специфического массажа, возникающего при использовании вагинальных шариков со смещенным центром тяжести усиливается приток крови к так называемым ""мертвым зонам"" внутри влагалища, т.е. к тем участкам, которые не затрагиваются во время даже самой бурной близости, таким образом снижается риск возникновения застойных явлений.   Способ применения: -Обработайте шарики небольшим количеством интимной смазки. -В полулежачем или лежачем положении введите шарики во влагалище, оставив нить для вытягивания шариков снаружи. -Встаньте попытайтесь удержать шарики в течение некоторого времени (первоначально в течение 1 минуты, далее увеличивая интервал воздействия до 15, 20,30 и более минут в зависимости от желания и возможностей каждой женщины). -После того как умение удерживать шарики во влагалище в течение длительного времени освоено, женщина начинает ходить с ними, при движении и происходит эффект массажа (перекатывание шариков внутри влагалища), а также при их воздействии женщина испытывает сексуальные эмоции от легкого возбуждения до экстаза. - До и после использования шарики промываются теплой водой с мылом. - Не рекомендуется использовать шарики во время непосредственной близости с партнером. - Перед первым использованием необходимо обработать изделие антисептиком (например, раствором мирамистина или хлоргексидина или смазкой, содержащей эти антисептики), после чего промыть их теплой водой с мылом. До и после использования необходимо также промывать изделие теплой водой с мылом.";;20;4,02E+12;Orion, Германия;Китай;АБС-Пластик, Полиамид;красный;21,5 см;3 - 4 см;;картонная коробка;660
5577060000;4285;Шарики вагинальные с вибрацией 4шт Play;2260;832;http://kazanova.su/files/foto/5577060000.jpeg;10;Вагинальные шарики и тренажеры/Вагинальные шарики;"Вагинальные шарики с встроеным вибратором, 4 шарика , диаметром 3,5 см для самых чувственных ощущений.   Ваш тренажер: Вагинальные шарики со смещенным центром тяжести (изготовлены из латекса, гладкие) используются для тренировки мышечной стенки влагалища, благодаря чему женщина развивает в себе способность регулировать объем влагалища, делая его более узким. Мужчина и женщина, независимо от размеров и индивидуальных анатомических особенностей половых органов, испытывают наиболее яркие ощущения во время близости благодаря плотному обхвату полового члена влагалищем. Умение владеть мышечной стенкой влагалища очень благотворно сказывается на его способности возвращаться к своим первоначальным размерам после родов, т.к. натренированная мышечная стенка приобретает эластичность и быстро сокращается. За счет специфического массажа, возникающего при использовании вагинальных шариков со смещенным центром тяжести усиливается приток крови к так называемым ""мертвым зонам"" внутри влагалища, т.е. к тем участкам, которые не затрагиваются во время даже самой бурной близости, таким образом снижается риск возникновения застойных явлений.   Способ применения: -Обработайте шарики небольшим количеством интимной смазки. -В полулежачем или лежачем положении введите шарики во влагалище, оставив нить для вытягивания шариков снаружи. -Встаньте попытайтесь удержать шарики в течение некоторого времени (первоначально в течение 1 минуты, далее увеличивая интервал воздействия до 15, 20,30 и более минут в зависимости от желания и возможностей каждой женщины). -После того как умение удерживать шарики во влагалище в течение длительного времени освоено, женщина начинает ходить с ними, при движении и происходит эффект массажа (перекатывание шариков внутри влагалища), а также при их воздействии женщина испытывает сексуальные эмоции от легкого возбуждения до экстаза. - До и после использования шарики промываются теплой водой с мылом. - Не рекомендуется использовать шарики во время непосредственной близости с партнером. - Перед первым использованием необходимо обработать изделие антисептиком (например, раствором мирамистина или хлоргексидина или смазкой, содержащей эти антисептики), после чего промыть их теплой водой с мылом. До и после использования необходимо также промывать изделие теплой водой с мылом.";;20;4,02E+12;Orion, Германия;Китай;АБС-Пластик ,ТПР;белый;;3,5 - 3,8 см;2 AA, нет в комплекте;картонная коробка;1990
5215230000;3777;Black Velvets Шарики вагинальные на короткой сцепке;2420;888;http://kazanova.su/files/foto/5215230000.jpeg;6;Вагинальные шарики и тренажеры/Вагинальные шарики;Кристал - красивый, прозрачный, сверкающий фаллоимитатор. Устроен так, что можно использовать для стимуляции G - точки, и анальной стимуляции. Размер: 25.5 см длина, диаметр 1,5-3,5 см. Производство Германия.;;20;4,02E+12;Orion, Германия;Китай;силикон;прозрачный;12,5 см;0,6-3,7 см;;картонная коробка;2180
